identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:1927925,Drei Mittheilungen über neue Würfelversuche,"Wolf, Rudolf","['1881', '1883']",ger,Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1928165,Encyclopädie der Perspektive : von J. H. Werdmüller,"Werdmüller, Johann Heinrich",1811,ger,Näf,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1928193,Instructionen für die Beobachter der meteorologischen Stationen der Schweiz,"Mousson, Albert",1863,ger,Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1985207,Architektionische Studien,Architektura,"['1880', '1895']",ger,Architektura,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2058372,Documenti della guerra santa d'Italia / Cenni e documenti della guerra d'insurrezione lombarda del 1849,"Camozzi, Gabriele",1849,ita,Tipografia Elvetica,,"['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2058450,Documenti della guerra santa d'Italia / Del Governo austriaco : Società secrete e Polizia in Lombardia,"Cantù, Cesare",1850,ita,Tipografia Elvetica,"['carte e atti segreti', 'Risorgimento italiano', 'Polizia austriaca']","['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2058674,Documenti della guerra santa d'Italia / Insurrezione di Brescia ed Atti ufficiali durante il marzo 1849,"Cassola, Carlo",1849,ita,Tip. Elvetica,,"['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2058836,Documenti della guerra santa d'Italia / Memoriale veneto storico-politico di P. Contarini dal 18 marzo 1848 al 26 agosto 1849,"Contarini, Pietro",1850,ita,Tipografia Elvetica,,"['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2059089,Documenti della guerra santa d'Italia / Le  milizie toscane nella guerra di Lombardia del 1848 : narrazione istorica del generale De Laugier,"De Laugier, Cesare Niccolò Giovacchino",1850,ita,Tipografia Elvetica,,"['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:2059247,Documenti della guerra santa d'Italia / Operette politiche,"Gioberti, Vincenzo",1851,ita,"['Tipografia Elvetica', 'Libreria patria']",,"['lg1', 'book', 'collections', 'ticinensia', 'ch', 'ch19']","['Text', 'Book']",pdm
